escenario,cindex_train,cindex_test,auc1_train,auc1_test,auc2_train,auc2_test,mtry,min_node,num_trees,mu,gamma,stepno,penalty,dropout,lr,weight_decay,batch_size,lambda,modelo,escenario_n,seleccion,sufijo,integracion,exp_id
rsf_escenario1,0.8831212520599365,0.6464811563491821,0.9055184776189215,0.680452603873829,0.9423107042568069,0.6976488914024805,3,9,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,rsf,1,NA,NA,NA,EXP1
rsf_escenario2_gseab,0.9447421431541443,0.6783960461616516,0.9925944481199929,0.7242470204128892,0.9838439462718436,0.7211709115525184,4,3,650,NA,NA,NA,NA,NA,NA,NA,NA,NA,rsf,2,gsea,b,NA,EXP2
rsf_escenario3,0.916610836982727,0.6808510422706604,0.9677560630494517,0.7213270986880768,0.9757309429285052,0.771886109513068,3,7,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,rsf,3,NA,NA,NA,EXP4
rsf_escenario4_gseab,0.9490957856178284,0.7504091858863831,0.9913562548220233,0.8032749334429987,0.9878829597038827,0.8374403960493204,5,7,650,NA,NA,NA,NA,NA,NA,NA,NA,NA,rsf,4,gsea,b,Dos_etapas,EXP5
rsf_escenario5_gseab,0.9591426849365234,0.7643207907676697,0.9950035258681934,0.8274720573033026,0.9973041713626906,0.8637430244850398,5,5,475,NA,NA,NA,NA,NA,NA,NA,NA,NA,rsf,5,gsea,b,Dos_etapas,EXP9
svm_escenario1,0.7076356410980225,0.6743044257164001,0.826004510133861,0.6198106249502552,0.7870206586760744,0.7072483733631969,NA,NA,NA,1.75,1.125,NA,NA,NA,NA,NA,NA,NA,svm,1,NA,NA,NA,EXP1
svm_escenario2_gseab,0.58305424451828,0.628477931022644,0.7289958840890792,0.6931662445431016,0.624288060059515,0.6711508767947482,NA,NA,NA,4,4,NA,NA,NA,NA,NA,NA,NA,svm,2,gsea,b,NA,EXP2
svm_escenario3,0.7796382904052734,0.6955810189247131,0.9357070790878761,0.702042187978931,0.8796234027841576,0.7769220819311784,NA,NA,NA,1.75,1.125,NA,NA,NA,NA,NA,NA,NA,svm,3,NA,NA,NA,EXP4
svm_escenario4_gseab,0.7166778445243835,0.7536824941635132,0.9012160415772742,0.8069112231188077,0.8013967373367823,0.8235153740659358,NA,NA,NA,3.025,0.1,NA,NA,NA,NA,NA,NA,NA,svm,4,gsea,b,Dos_etapas,EXP5
svm_escenario5_gseab,0.7076356410980225,0.6538461446762085,0.9350677599830555,0.6663323278597976,0.7785147447534354,0.7089659454920254,NA,NA,NA,0.1,2.05,NA,NA,NA,NA,NA,NA,NA,svm,5,gsea,b,Dos_etapas,EXP9
coxboost_escenario1,0.7032819986343384,0.6546644568443298,0.8167160321932029,0.6115434668481567,0.770677197031985,0.6734066432314304,NA,NA,NA,NA,NA,200,100,NA,NA,NA,NA,NA,coxboost,1,NA,NA,NA,EXP1
coxboost_escenario2_gseab,0.7659075856208801,0.6972177028656006,0.9043746478344461,0.717947286770992,0.8218609606232112,0.7382965533771918,NA,NA,NA,NA,NA,50,100,NA,NA,NA,NA,NA,coxboost,2,gsea,b,NA,EXP2
